"doffin_referanse";"navn";"publisert_av";"kunngjoring_type";"kunngjoring_dato";"tilbudsfrist_dato";"lenke";"cpv";"beskrivelse";"estimert_totalverdi";"kunngjort_uke";"kunngjort_år";"fristlengde"
"2022-303486";"Overvåking av GPS via AIS";"KYSTVERKET ";"Kunngjøring av konkurranse";"2022-02-24";"2022-03-21";"/Notice/Details/2022-303486";"73000000";"Kystverket og Nasjonal kommunikasjonsmyndighet (Nkom), heretter kalt Kunden, samarbeider om å oppdage, varsle og motvirke forstyrrelser på globale satellittnavigasjonssystemer (GPS) i Norge. Det er behov for å styrke evnen til å oppdage på GPS-signaler i norske sjøområder raskt og på en systematisk skalte. Kunden ønsker å bruke AIS-signaler fra fartøy i norske sjøområder til dette. I 2018 fikk Norsk Romsenter utført en forstudie for et konsept for å oppdage RFI på GPS- og AIS-signaler - Rapport fra forprosjekt AIS som RFI-detektor, datert 23. mars 2018 (vedlagt). Forstudien beskriver to ulike deteksjonsalgoritmer for å detektere RFI, hvor den ene algoritmen har som skall å detektere RFI på GPS-båndet, mens den andre algoritmen forsøker å detektere RFI på AIS-båndet. Deteksjon av RFI på GPS-båndet er det som nå er aktuelt å pilotere (omtales som anomali type én i forstudien).";"1299000";"8";"2022";"25"
"2022-305739";"Evaluering av Trøndelag fylkeskommune 2022";"Trøndelag fylkeskommune ";"Kunngjøring av konkurranse";"2022-02-23";"2022-03-09";"/Notice/Details/2022-305739";"73000000";"Trøndelag fylkeskommune skal i perioden 1.april til medio desember 2022 gjennomføre en evaluering av organisasjonen";"1000000";"8";"2022";"14"
"2022-384034";"Norden som foregangsregion for datadeling og bærekraftig mobilitet og transport";"Norden Nordic Innovation / Nordisk Innovation ";"Kunngjøring av konkurranse";"2022-02-21";"2022-05-10";"/Notice/Details/2022-384034";"73220000";"Nordic Innovation søker en samarbeidspartner som kan bidra i arbeidet med å utvikle og iverksette et nordisk initiativ for å fremme datadeling i mobilitets- og transportsektoren. Økt datadeling mellom nordiske bedrifter og deres underleverandører skal bidra til å gjøre Norden ledende innenfor bærekraftig mobilitet, øke regionens konkurranseevne og samtidig skape nye forretningsmuligheter.
Nordic Innovation ser etter en leverandør med høy kunnskap om de nordiske mobilitets- og logistikksektorene, inkludert datadeling og konnektivitet, samt kompetanse om innovasjonsprosesser, herunder markedsintroduksjon og skalering.
";"4000000";"8";"2022";"78"
"2022-395351";"Undersøkelse av hvordan møteoffentlighet praktiseres og oppleves";"Kommunal- og distriktsdepartementet ";"Kunngjøring av konkurranse";"2022-02-21";"2022-03-14";"/Notice/Details/2022-395351";"73000000";"Anskaffelsens formål er å få mer kunnskap om hvordan bestemmelsene i kommuneloven om møteoffentlighet i kommuner og fylkeskommunen fungerer i praksis og hvordan de oppleves av folkevalgte og andre.
Kommuneloven har bestemmelser som gir allmennheten rett til å følge forhandlingene i folkevalgte organer i kommuner og fylkeskommuner. Det er liten oversikt over hvordan regelverket praktiseres, for eksempel hvilke hjemler som benyttes for lukking av møter. Det er ønskelig å få informasjon om innbyggerne benytter seg av mulighetene for innsyn i det politiske arbeidet i kommunen og fylkeskommunen, og i så fall hvordan. I tillegg ønsker vi å få kunnskap om hvordan møteoffentlighet oppfattes av folkevalgte.
Frist for levering av rapporten er torsdag 1. desember 2022.
Anslått verdi for kontrakten er fra kr 800 000 eks. mva. til kr 1 000 000 eks. mva. Estimatet er ikke bindende for oppdragsgiver.
For nærmere beskrivelse av leveransen, se bilag 1 til kontrakt.
";"1000000";"8";"2022";"21"
"2022-397334";"Evaluering av ekstraordinært tilskudd til informasjonstiltak for innvandrerbefolkningen i regi av frivillige organisasjoner og kunnskapsinnhenting om sivilsamfunnets rolle under Covid-19";"Integrerings- og mangfoldsdirektoratet (IMDi) ";"Kunngjøring av konkurranse";"2022-02-19";"2022-03-29";"/Notice/Details/2022-397334";"73000000";"Hovedformålet med oppdraget er en evaluering av hvorvidt ekstraordinært tilskudd til frivillige organisasjoner er en egnet ordning for å nå ut med koronainformasjon til innvandrerbefolkningen. Oppdragsgiver ønsker at evalueringen skal bidra til kunnskap om hva som har fungert bra og hva som bør videreutvikles eller gjøres annerledes når det gjelder innretning og rapportering på fremtidige, lignende tilskuddsordninger for frivillige organisasjoner. Videre ønsker oppdragsgiver å få mer overordnet kunnskap om frivillighetens rolle som informasjonsformidlere.";"3000000";"8";"2022";"38"
"2022-362317";"Kjøp av konsulenttjenester til arbeid med fremtidsbilder/-scenarioer i KVU Nord-Norge";"Statens vegvesen ";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-10";"/Notice/Details/2022-362317";"73000000";"Som ledd i Konseptvalgutredning (KVU) Nord-Norge, ønsker Statens vegvesen (heretter kalt oppdragsgiver) tilbud på levering av konsulenttjenester til arbeid med fremtidsbilder/-scenarier. Statens vegvesen leder KVU-arbeidet, og er oppdragsgiver for anskaffelsen og ansvarlig for kontrakten.
Formålet med anskaffelsen er å få belyst viktige trender og drivere som kan påvirke transportsystemet, få bistand til å kjøre prosessen med å utvikle fremtidsbilder/-scenarier, samt få bistand i arbeidet med å drøfte robustheten til ulike konsepter for fremtidens transportløsninger i Nord-Norge i lys av de utviklede fremtidsbildene/scenariene.
";"500000";"7";"2022";"20"
"2022-314130";"Statusrapport for TT-ordningen og evaluering av utvidet TT-ordning";"Samferdselsdepartementet ";"Kunngjøring av konkurranse";"2022-02-16";"2022-03-10";"/Notice/Details/2022-314130";"73200000";"Samferdselsdepartementet ønsker å få utarbeidet en statusrapport for ordningen med tilrettelagt transport for funksjonshemmede (TT-ordningen), og å få evaluert den utvidede TT-ordningen for brukere med særskilte behov. Oppdraget er å lage en rapport hvor del I er nevnte statusrapport og del II er nevnte evaluering. Det anslås at om lag 40 % av samlet tidsbruk bør gå med til utarbeidelse av statusrapporten, mens om lag 60 % av samlet tidsbruk bør gå med til evalueringen. Del I, statusrapporten, skal være et kunnskapsgrunnlag om TT-ordningen og en analyse av utviklingen av den. Rapporten skal kartlegge status for ordningen, herunder omfang, fordeling av ulike brukergrupper, budsjettert og reell ressursbruk, samt organisering av ordningen. I del II skal konsulenten vurdere hvorvidt den utvidede TT-ordningen er effektiv når det gjelder ressursbruk, organisering og fastsatte mål. Oppdraget skal gjennomføres innen 10. juni 2022.";"600000";"7";"2022";"22"
"2022-313451";"Konsulenttjenester - Utvikling av metode for ytringsfrihetsstrategi";"Norad – Direktoratet for utviklingssamarbeid ";"Kunngjøring av konkurranse";"2022-02-16";"2022-02-28";"/Notice/Details/2022-313451";"73200000";"Norad skal utarbeide et forslag til metode for en toårig resultatrapportering for «Strategi for ytringsfrihet i utenriks- og utviklingspolitikken». Metoden skal omhandle direkte resultater av norsk støtte til relevante partnerorganisasjoner, vurdering av partnervalg, utviklingstrender og mulige behov for justering av partnere. Dette konsulentoppdraget skal bidra til å utvikle kunnskapsgrunnlaget for denne metoden. Se konkurransegrunnlaget for nærmere informasjon om oppdraget.";"200000";"7";"2022";"12"
"2022-318442";"Modell for beregning av fylkesveikriteriet i inntektssystemet for fylkeskommunene";"Kommunal- og distriktsdepartementet ";"Kunngjøring av konkurranse";"2022-02-15";"2022-03-21";"/Notice/Details/2022-318442";"73000000";"Formålet med Oppdraget er å utforme et forslag til en robust modell for å beregne kriteriet vedlikeholdsbehov fylkesvei i inntektssystemet for fylkeskommunene. Modellen skal i størst mulig grad være fleksibel med hensyn til endringer i fylkesstruktur og godt egnet til å fange opp endringer i vedlikeholdsbehovet over tid. Oppdraget kan løses enten gjennom å bygge på den eksisterende modellen, eller ved å lage en ny modell. Oppdragstaker skal ved utforming av forslaget legge til grunn at kriteriene som inngår i inntektssystemet i størst mulig grad skal være objektive, basert på offisiell statistikk og mulig å oppdatere jevnlig.";"1000000";"7";"2022";"34"
"2022-345403";"Ny kostnadsmodell for beregning av ferjekriteriet i inntektssystemet for fylkeskommunene";"Kommunal- og distriktsdepartementet ";"Kunngjøring av konkurranse";"2022-02-15";"2022-03-21";"/Notice/Details/2022-345403";"73000000";"Formålet med oppdraget er å utvikle en ny modell for å beregne kriteriet normerte ferjekostnader i inntektssystemet for fylkeskommunene. I dagens versjon av kriteriet beregnes kostnadene ved å drifte konvensjonelle dieselferjer, mens inntektene estimeres med utgangspunkt i riksregulativet for ferjetakster. Oppdragsgiver ønsker å få utviklet en kostnadsmodell som legger til grunn bruk av nullutslippsteknologi, og en inntektsmodell som tar utgangspunkt i AutoPASS-regulativet for ferjetakster.
Ferjekriteriet brukes til å omfordele en gitt ramme mellom fylkeskommunene. Kostnadsmodellen brukes bare til å beregne den relative fordelingen mellom fylkeskommunene, og ikke til å fastsette størrelsen på beløpet som skal omfordeles. Oppdateringen av kriteriet må derfor sees uavhengig av spørsmålet om å kompensere fylkeskommunene for eventuelle merkostnader ved overgangen til nullutslippsteknologi
";"1100000";"7";"2022";"34"
"2022-305953";"OG21 dypdykkstudie om lavutslippsløsninger";"Norges forskningsråd ";"Kunngjøring av konkurranse";"2022-02-14";"2022-03-04";"/Notice/Details/2022-305953";"73000000";"Forskningsrådet ved OG21 innbyr til konkurranse om oppdraget: ""OG21 dypdykkstudie om lavutslippsløsninger.""";"1275000";"7";"2022";"18"
"2022-373424";"Tilbudskonkurranse - Evaluering av felles søknadsbehandling av Forskerprosjekt";"Norges forskningsråd ";"Kunngjøring av konkurranse";"2022-02-14";"2022-02-25";"/Notice/Details/2022-373424";"73110000";"Tilbudskonkurranse for å anskaffe Evaluering av felles søknadsbehandling av Forskerprosjekt";NA;"7";"2022";"11"
"2022-311805";"Utvikling av dekkskanner";"Statens vegvesen ";"Kunngjøring av konkurranse";"2022-02-13";"2022-03-17";"/Notice/Details/2022-311805";"73120000";"Statens vegvesen, Transport og samfunn har behov for å utvikle og eventuelt anskaffe dekkskanner for å avdekke dårlige dekk. Formålet med anskaffelsen er å gi Statens vegvesen tilgang på sensorer som kan identifisere kjøretøy med dårlige dekk når de kjører i fart. Ved bruk av sensorer kan vi i større grad velge ut kjøretøy med dårlige dekk til kontroll, og benytte registrerte data til trafikkstyring og veiledning.";"14500000";"7";"2022";"32"
"2022-328032";"Tolkemonitor: Offentlige organers språkbehov og etterlevelse av tolkeloven";"Integrerings- og mangfoldsdirektoratet (IMDi) ";"Kunngjøring av konkurranse";"2022-02-12";"2022-03-14";"/Notice/Details/2022-328032";"73110000";"IMDi ønsker et godt kunnskapsgrunnlag for å kunne tilby kunnskapsbasert oppfølging av offentlige organer og gi veiledning til disse i etterlevelse av tolkeloven, samt innsikt i behovet for tolking på ulike språk. Anskaffelsen er todelt:
LOV: I hvilken grad implementeres og etterleves lovbestemmelsene i tolkeloven av offentlige organer?
SPRÅK: Hvor stort er offentlige organers behov for tolking på ulike språk, og hvilke språk bør prioriteres til ulike kvalifiseringstilbud i tolking?
Undersøkelsene skal gjennomføres med utgangspunkt i Agenda Kaupangs forslag til indikatormåling og datafangst. Prosjektet vil danne grunnlag for politikkutviklingen på tolkefeltet, samt utviklingen av et treffsikkert kvalifiseringstilbud i tolking.
";"2000000";"7";"2022";"30"
"2022-357370";"Evaluering av norsktreningstilbud i regi av frivillige organisasjoner – oppsummering av erfaringer og gode eksempler";"Integrerings- og mangfoldsdirektoratet (IMDi) ";"Kunngjøring av konkurranse";"2022-02-12";"2022-03-24";"/Notice/Details/2022-357370";"73000000";"IMDi ønsker mer kunnskap og oversikt over ulike norsktreningstilbud i regi av frivilligheten, og hvilke tilbud som gir gode resultater.";"2000000";"7";"2022";"40"
"2022-352019";"Oppdragsforskning om ansvarlig spill";"Norsk Tipping AS ";"Kunngjøring av konkurranse";"2022-02-12";"2022-03-15";"/Notice/Details/2022-352019";"73110000";"Norsk Tipping har som mål å være ledende i spillbransjen innen spillansvarlighet. Denne anskaffelsen skal føre til en rammeavtale med en forskningsinstitusjon som kan tilby forskere og eksperter med kompetanse innen områder som spillatferd og relevante områder. Rammeavtalens varighet er 4 år, og Norsk Tipping vil bestille ett eller flere forskningsoppdrag på dette området i avtaleperioden.";NA;"7";"2022";"31"
"2022-323352";"ANSK-0272-21 Bistand til kjemisk syntese og test";"UNIVERSITETET I BERGEN ";"Kunngjøring av konkurranse";"2022-02-12";"2022-03-15";"/Notice/Details/2022-323352";"73000000";"Kjemisk institutt ved Universitetet i Bergen skal gå til innkjøp av bistand og tjenester til kjemisk syntese samt undersøkelse av fremstilte forbindelser i relevante DMPK/ADME testsystemer.
Arbeidet ønskes gjennomført i løpet av 2022/23.
";NA;"7";"2022";"31"
"2022-366820";"Utvikle Human Factors (HF) verktøy til granskinger";"Petroleumstilsynet ";"Kunngjøring av konkurranse";"2022-02-09";"2022-03-03";"/Notice/Details/2022-366820";"73200000";"Utvikle verktøy (for eksempel sjekkliste, metode, taksonomi) for å adressere Human Factors (HF) i Ptils granskinger.";"1250000";"6";"2022";"22"
"2022-374796";"Analysestøtte til avløpsovervåking ifb. SARS-CoV-2";"Norsk Helsenett SF ";"Kunngjøring av konkurranse";"2022-02-09";"2022-03-16";"/Notice/Details/2022-374796";"71900000";"Personer smittet med Severe Acute Respiratory Syndrome Coronavirus 2 (heretter kalt «SARS-CoV-2») skiller ut virus gjennom kroppssekreter og avføring. SARS-CoV-2 i befolkningen kan dermed overvåkes ved å undersøke mengden av virus i avløpsvann fra kommuner.
Ved avløpsovervåking samles avløpsprøver fra et avløpsrenseanlegg og transporteres til et laboratorium. I laboratoriet undersøkes avløpsprøven med en PCR- metode for forekomst av SARS-CoV-2. Positive prøver screenes for utvalgte virusvarianter og kan analyseres videre med sekvensering ved behov. Tidsrommet mellom analysene (daglig, flere ganger pr uke, ukentlig) kan fastsettes avhengig av formålet med overvåkingen.
Når resultatene av analysene foreligger, tolkes de i relasjon til den øvrige epidemiologiske overvåkingen og bidrar derved til økt kunnskap om smittespredning og aktuelle tiltak.
";"15000000";"6";"2022";"35"
"2022-367915";"Anskaffelse av Forskningskart på vindkraft";"Norges vassdrags- og energidirektorat (NVE) ";"Kunngjøring av konkurranse";"2022-02-08";"2022-03-04";"/Notice/Details/2022-367915";"73200000";"Dette prosjektet er en forstudie som skal resultere i en pilot på forskningskart på vindkraft som kan bidra til at NVE holder oversikt over forskningen innenfor to utvalgte kunnskapsområder knyttet til vindkraft:
1. vindkraftens virkninger for fugl og
2. cybersikkerhet i drift av vindkraft.
Oppdragsgivers beskrivelse av leveransen følger ellers av kravspesifikasjonen.
Økonomisk ramme for oppdraget er estimert til kr 700 000,-, eks. MVA.
";NA;"6";"2022";"24"
