"doffin_referanse";"navn";"publisert_av";"kunngjoring_type";"kunngjoring_dato";"tilbudsfrist_dato";"lenke";"cpv";"estimert_totalverdi";"kunngjort_uke";"kunngjort_år";"fristlengde";"kunngjort_ukedag"
"2022-357151";"Kjølecelle, bårebrikke- og kistehåndtering";"Ås kommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-07";"/Notice/Details/2022-357151";"33944000";NA;"11";"2022";"20";"fre\."
"2022-398492";"Science writer for report on the effectiveness of a global treaty on plastic pollution 207777";"STIFTELSEN GRID-ARENDAL";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-04";"/Notice/Details/2022-398492";"98300000";"4300000";"11";"2022";"17";"fre\."
"2022-316800";"Rammeavtale for kjøp av rekrutteringstjenester";"Direktoratet for mineralforvaltning med Bergmesteren for Svalbard";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-13";"/Notice/Details/2022-316800";"79600000";"40000000";"11";"2022";"26";"fre\."
"2022-319138";"Elektrikertjenester DIM";"Dalane Miljøverk AS";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-27";"/Notice/Details/2022-319138";"50711000";NA;"11";"2022";"40";"fre\."
"2022-306249";"Bredbånd i Senja kommune - Hofsøy";"Senja kommune v/Bredbåndsfylket Troms AS";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-05";"/Notice/Details/2022-306249";"45232332";"8000000";"11";"2022";"18";"fre\."
"2022-321759";"Redskapsarm og klippehoder";"Sandnes kommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-03-31";"/Notice/Details/2022-321759";"34390000";"8000000";"11";"2022";"13";"fre\."
"2022-350363";"Nytt høgdebasseng hodlekve";"Sogndal kommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-08";"/Notice/Details/2022-350363";"45000000";"15000000";"11";"2022";"21";"fre\."
"2022-322448";"Oppgradering av Levermyr kunstgressbane";"Grimstad kommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-22";"/Notice/Details/2022-322448";"45000000";"65000000";"11";"2022";"35";"fre\."
"2022-301710";"Rammeavtale for innkjøp av badeartikler til videresalg i kommunale anlegg";"Oslo kommune v/ Bymiljøetaten";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-18";"/Notice/Details/2022-301710";"18412800";"40000000";"11";"2022";"31";"fre\."
"2022-320548";"Juridiske tjenester, rammeavtale";"LONGYEARBYEN LOKALSTYRE";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-19";"/Notice/Details/2022-320548";"79100000";NA;"11";"2022";"32";"fre\."
"2022-328561";"Forprosjekt for mulig bygging av båtvaskemaskin i Horten kommune";"Horten kommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-08";"/Notice/Details/2022-328561";"71242000";NA;"11";"2022";"21";"fre\."
"2022-396623";"22/00499 - Testleder/tester til Modernisering SYSVAK - FHI";"Norsk Helsenett SF";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-19";"/Notice/Details/2022-396623";"72254100";"45000000";"11";"2022";"32";"fre\."
"2022-388274";"Hareid sjukeheim - Utskifting av balkongar Hadartun";"Hareid Kommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-25";"/Notice/Details/2022-388274";"45000000";NA;"11";"2022";"38";"fre\."
"2022-341747";"Elevapplikasjon";"Viken Vest Innkjøpssamarbeid (VVI)";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-06";"/Notice/Details/2022-341747";"72268000";NA;"11";"2022";"19";"fre\."
"2022-380670";"22/00153- Rammeavtale for Konsulenttjenester";"Havforskningsinstituttet";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-27";"/Notice/Details/2022-380670";"72220000";"400000000";"11";"2022";"40";"fre\."
"2022-365438";"Erfaringer med ulike måter å organisere barnehagehverdagen";"Utdanningsdirektoratet";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-18";"/Notice/Details/2022-365438";"73110000";NA;"11";"2022";"31";"fre\."
"2022-326377";"Kjøp av kurs i grunnleggende prosjektledelse og sertifiseringskurs i prosjekt-, program- og porteføljestyring for Sykehuspartner HF";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-22";"/Notice/Details/2022-326377";"79421000";"62000000";"11";"2022";"35";"fre\."
"2022-335178";"Anskaffelse av rammeavtale for kjøp av ferske brød og kaker";"Oslo kommune v/ Sykehjemsetaten";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-20";"/Notice/Details/2022-335178";"15810000";"200000000";"11";"2022";"33";"fre\."
"2022-340776";"Anskaffelse av rammeavtale for kjøp av ferskt kjøtt og kjøttprodukter";"Oslo kommune v/ Sykehjemsetaten";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-20";"/Notice/Details/2022-340776";"15100000";"300000000";"11";"2022";"33";"fre\."
"2022-355506";"Anskaffelse av konsulenttjenester teknisk";"Våler Kommune i Viken";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-20";"/Notice/Details/2022-355506";"71315200";"130000000";"11";"2022";"33";"fre\."
"2022-399236";"Anskaffelse av system for presentasjon av eiendomsinformasjon";"Oslo kommune v/ Innkrevingsetaten";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-21";"/Notice/Details/2022-399236";"72000000";"21000000";"11";"2022";"34";"fre\."
"2022-335991";"76448 2866 RH HLK Kardiologisk avd Ultralydapparat";"Oslo Universitetssykehus HF (hovedenhet)";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-26";"/Notice/Details/2022-335991";"33112200";NA;"11";"2022";"39";"fre\."
"2022-332538";"2022-32 Nye lyskilder i tunneler";"Møre og Romsdal Fylkeskommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-15";"/Notice/Details/2022-332538";"45316000";"80000000";"11";"2022";"28";"fre\."
"2022-355584";"Forvaltningsrevisjon og eierskapskontroll";"Lier Kommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-29";"/Notice/Details/2022-355584";"79200000";"55000000";"11";"2022";"42";"fre\."
"2022-305752";"Utvikling av nettbasert kompetansepakke til personalet i barnehagen for å fremme og utvikle de flerspråklige barnas norsk- eller samiskspråklige kompetanse";"Utdanningsdirektoratet";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-20";"/Notice/Details/2022-305752";"80110000";NA;"11";"2022";"34";"tor\."
"2022-346593";"Branntankbil - Nesseby kommune";"Finnut Consult AS Nesseby kommune";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-21";"/Notice/Details/2022-346593";"34133100";NA;"11";"2022";"35";"tor\."
"2022-315160";"Vask av arbeidstøy til tannhelsetjenesten";"INNLANDET FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-25";"/Notice/Details/2022-315160";"98310000";"32000000";"11";"2022";"39";"tor\."
"2022-359482";"Forlengelse av Kai 36 - Kristiansand";"Kristiansand Havn IKS";"Kunngjøring av konkurranse";"2022-03-17";"2022-05-20";"/Notice/Details/2022-359482";"45000000";NA;"11";"2022";"64";"tor\."
"2022-369005";"Rammeavtale for kjøp av pukk og grus";"Karmøy Kommune";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-21";"/Notice/Details/2022-369005";"14210000";"35000000";"11";"2022";"35";"tor\."
"2022-378717";"2022 Kvalitetskontroll på nylagte asfaltdekker med georadar (GPR) Trøndelag fylkeskommune";"Trøndelag fylkeskommune";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-01";"/Notice/Details/2022-378717";"63712200";"5000000";"11";"2022";"15";"tor\."
"2022-390544";"Smie ved Gildehallen";"Vestfold fylkeskommune";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-11";"/Notice/Details/2022-390544";"45210000";NA;"11";"2022";"25";"tor\."
"2022-329120";"Tilbudskonkurranse - Evaluering av måloppnåelse for prioriteringen Samhørighet og globalisering";"Norges forskningsråd";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-22";"/Notice/Details/2022-329120";"73110000";"12000000";"11";"2022";"36";"tor\."
"2022-323624";"Rammeavtale - Bistand i forbindelse med bekjempelse av fremmede arter, naturskjøtsel m.m";"Sandnes kommune";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-21";"/Notice/Details/2022-323624";"77312100";"100000000";"11";"2022";"35";"tor\."
"2022-350508";"New driver's seat for MX3000";"Sporveien AS";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-19";"/Notice/Details/2022-350508";"34631300";NA;"11";"2022";"33";"tor\."
"2022-324271";"Rammeavtale Kjøp av Løftebukker til Statens vegvesen";"Statens vegvesen";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-18";"/Notice/Details/2022-324271";"42400000";"100000000";"11";"2022";"32";"tor\."
"2022-397876";"Utredning om sikker kjøring på MC";"Samferdselsdepartementet";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-20";"/Notice/Details/2022-397876";"73200000";"5000000";"11";"2022";"34";"tor\."
"2022-336690";"2021039741 Hotell VIP";"Forsvaret v/Forsvarets logistikkorganisasjon";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-19";"/Notice/Details/2022-336690";"55110000";"40000000";"11";"2022";"33";"tor\."
"2022-392469";"Mørkved Klatrehall, utbedringsarbeider";"Rambøll Norge AS (hovedenhet)";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-21";"/Notice/Details/2022-392469";"45000000";NA;"11";"2022";"35";"tor\."
"2022-399743";"Service og vedlikehold av trening/ styrkeutstyr";"Stavanger kommune";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-07";"/Notice/Details/2022-399743";"51121000";"12999990";"11";"2022";"21";"tor\."
"2022-333159";"Anskaffelse av bilauksjonstjenester";"Tolletaten";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-04";"/Notice/Details/2022-333159";"79342410";"12900000";"11";"2022";"18";"tor\."
"2022-386717";"Ryggmikroskop til Sørlandet sykehus HF";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-20";"/Notice/Details/2022-386717";"33100000";"198000000";"11";"2022";"34";"tor\."
"2022-387447";"Anskaffelse - Hjulgraver ÅRIM AS, 2022";"ÅRIM AS";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-29";"/Notice/Details/2022-387447";"43261000";NA;"11";"2022";"43";"tor\."
"2022-317395";"Totalrehabilitering leilighet Slottsberget";"Oslo kommune v/ Eiendoms- og byfornyelsesetaten";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-07";"/Notice/Details/2022-317395";"45400000";NA;"11";"2022";"21";"tor\."
"2022-359114";"Kjøp av tilhenger / krokslep";"Renovasjonen IKS";"Kunngjøring av konkurranse";"2022-03-17";"2022-03-31";"/Notice/Details/2022-359114";"34223000";"5500000";"11";"2022";"14";"tor\."
"2022-303247";"Rammeavtale for transport og behandling - Matavfall 2022";"Volda og Ørsta Reinhaldsverk IKS";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-20";"/Notice/Details/2022-303247";"90500000";NA;"11";"2022";"34";"tor\."
"2022-347952";"Massetjenesteutstyr";"Politiets fellestjenester";"Kunngjøring av konkurranse";"2022-03-17";"2022-05-06";"/Notice/Details/2022-347952";"18143000";"270000000";"11";"2022";"50";"tor\."
"2022-370058";"Consultant for joint review of GRID-Arendal’s cooperation with Norad";"STIFTELSEN GRID-ARENDAL";"Kunngjøring av konkurranse";"2022-03-17";"2022-03-28";"/Notice/Details/2022-370058";"98300000";NA;"11";"2022";"11";"tor\."
"2022-368513";"Utomhusarbeider ved Kjeller barnehage";"Lillestrøm Kommune";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-04";"/Notice/Details/2022-368513";"45236000";"50000000";"11";"2022";"18";"tor\."
"2022-331900";"Oppgradering - Skudenes legesenter";"Karmøy Kommune";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-18";"/Notice/Details/2022-331900";"45000000";"12000000";"11";"2022";"32";"tor\."
"2022-363614";"1202901 HVO Hans Strøm ombygging H004 ITB-ansvarlig";"STATSBYGG";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-19";"/Notice/Details/2022-363614";"71315200";NA;"11";"2022";"33";"tor\."
"2022-362694";"Kvalifisering: Rammeavtale for verktøyleverandører innenfor digital hjemmeoppfølging";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-20";"/Notice/Details/2022-362694";"72212180";"4000000000";"11";"2022";"34";"tor\."
"2022-364647";"Nasjonal turistveg Hardanger: Toalettbygg på Fossatromma";"Statens vegvesen";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-22";"/Notice/Details/2022-364647";"45210000";NA;"11";"2022";"36";"tor\."
"2022-375624";"2022-NOR-Erdal ungdomsskole ombygging";"Askøy kommune";"Kunngjøring av konkurranse";"2022-03-17";"2022-05-03";"/Notice/Details/2022-375624";"45000000";"90000000";"11";"2022";"47";"tor\."
"2022-360407";"BAT for land-based aquaculture in the Nordics";"Miljødirektoratet";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-06";"/Notice/Details/2022-360407";"90700000";"4500000";"11";"2022";"20";"tor\."
"2022-379192";"Anskaffelse av bedriftshelsetjeneste Oslo";"Statnett SF";"Kunngjøring av konkurranse";"2022-03-17";"2022-05-02";"/Notice/Details/2022-379192";"85147000";NA;"11";"2022";"46";"tor\."
"2022-327584";"Rammeavtale telefoniutstyr";"IKT Nordhordland kommunalt oppgåvefellesskap";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-20";"/Notice/Details/2022-327584";"32250000";"75000000";"11";"2022";"34";"tor\."
"2022-380844";"Kjøp av grunnundersøkelser i Porsgrunnselva, Frednes";"Statens vegvesen";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-04";"/Notice/Details/2022-380844";"71332000";NA;"11";"2022";"18";"tor\."
"2022-359183";"Prosjektleder Tilskuddsportalen";"Norad – Direktoratet for utviklingssamarbeid";"Kunngjøring av konkurranse";"2022-03-17";"2022-03-29";"/Notice/Details/2022-359183";"72600000";"11000000";"11";"2022";"12";"tor\."
"2022-322972";"Miljøpakke Mostadmark";"Det frivillige Skyttervesen";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-28";"/Notice/Details/2022-322972";"45422000";"22000000";"11";"2022";"42";"tor\."
"2022-395595";"22-015 Hyperkonvergert infrastruktur";"AS Vinmonopolet";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-20";"/Notice/Details/2022-395595";"48820000";"25000000";"11";"2022";"34";"tor\."
"2022-362332";"Transporttjenester, rammeavtale";"Haugesund kommune";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-21";"/Notice/Details/2022-362332";"60100000";NA;"11";"2022";"35";"tor\."
"2022-338910";"CRM-system";"Patentstyret";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-25";"/Notice/Details/2022-338910";"72220000";"35000000";"11";"2022";"39";"tor\."
"2022-301127";"IK-EØS 011-2022 Minibusser til dagsenter, Bergen kommune (Ny utlysning)";"Bergen kommune - Innkjøp konsern";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-19";"/Notice/Details/2022-301127";"34114400";NA;"11";"2022";"33";"tor\."
"2022-336892";"Rammeavtale for avfallshåndtering, Karmøy kommune";"Karmøy Kommune";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-27";"/Notice/Details/2022-336892";"90510000";"100000000";"11";"2022";"41";"tor\."
"2022-345411";"Byggeleder og kontrollingeniør Bybrua";"DRAMMEN KOMMUNE";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-12";"/Notice/Details/2022-345411";"71541000";NA;"11";"2022";"26";"tor\."
"2022-366466";"Sakkyndige legespesialister til Norsk pasientskadeerstatning (NPE)";"Norsk Helsenett SF";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-26";"/Notice/Details/2022-366466";"85100000";"142600000";"11";"2022";"40";"tor\."
"2022-328618";"Renhold av UiO's bygninger Sentrum/Tøyen";"Universitetet i Oslo";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-19";"/Notice/Details/2022-328618";"90911000";NA;"11";"2022";"33";"tor\."
"2022-327660";"VA-anlegg, Rygge - Tasken";"Råde Kommune";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-22";"/Notice/Details/2022-327660";"45231300";"450000000";"11";"2022";"36";"tor\."
"2022-389524";"Pasienttransport innen og ut av Øvre Eiker kommune";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-20";"/Notice/Details/2022-389524";"60120000";"126000000";"11";"2022";"34";"tor\."
